id,source,publisher,title,content,url,published_date,country,category,lang_detected,translated_content,created_at,sentiment_label,sentiment_score,keyword_category
2161,google_news,TNGlobal,Grab unveils 13 AI features to transform Superapp experience - TNGlobal,Grab unveils 13 AI features to transform Superapp experience&nbsp;&nbsp;TNGlobal,https://news.google.com/rss/articles/CBMinAFBVV95cUxPOE5WVVJpVlZ4Um9iOEFydTNvSldMU3ZXbFpaaUpvRmRfcTh4dWFjM0lYSzQzU2gybW9oZmZ0THE4NEdQWWN4WUhoNF9GcWRLUmlmSXhFS2tlcFVVWEs0LTdYOFgzdnNLbGQwSTh4OTd6RC1yZjI5eVNmandNdWxrWWRkY0RTMkxRSmF0YS1GU3Rjbk1pOTV3UXdoVzQ?oc=5,2026-04-09,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2162,google_news,InsiderPH,Grab expands EV push with GAC partnership - InsiderPH,Grab expands EV push with GAC partnership&nbsp;&nbsp;InsiderPH,https://news.google.com/rss/articles/CBMicEFVX3lxTFAxSG8zS2cyMGdJVXJQdHRkLVNINXdYUmZaS0lvQktDRWZ3cTlpSkNZTmEtTFNEWDg4a2o0Y3VBdTlicHpTMDRmbDUxUE1nd1pRNmppbDJuWjZoYXJXRnJXRHozZzJNWENDcFFvVDdmODc?oc=5,2026-01-15,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2163,google_news,AI CERTs,Grab’s Superapp AI Debut: 13 Intelligent Features - AI CERTs,Grab’s Superapp AI Debut: 13 Intelligent Features&nbsp;&nbsp;AI CERTs,https://news.google.com/rss/articles/CBMiggFBVV95cUxONG1GcTFmTE9lTkY1WGplNk9kclVnMG5BNi11NTJtd3VCYTdRanBVdDJvemRNc2RtTjkwVTlWdGFaamJlMGtiYkpwX1dSamhiSHdrT1BNMFZzSExkWDl2aERYd0dnWFFCVV83SC00SjFZVkxreFNaQUp6U3YxY2FHNEZR?oc=5,2026-04-10,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2164,google_news,Esquiremag.ph,Grab Will Now Lend You Money And Then Some - Esquiremag.ph,Grab Will Now Lend You Money And Then Some&nbsp;&nbsp;Esquiremag.ph,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQYUhORUVDLWIzZ3NwcThzeGhxcDFIX01ZclFxQTZKWEpNcnotdGN3WUZicGFlWG5KNDExSVI0dG41a05FTzNQaGFTalNjdzdvSUdCeXBqNC1mVjUtaFAxS1daWHBqcWxJRXRrV3Q5TFk5ZzdLamVZWklzSTFUd0V2YlBkbGFObDhyd2dqaVJDTENRSy1VR19jZXJSY0NCSmJoLTZrTkg1Z3NmWGdQU2tlS3Rya09PcnJpaS1TdjdIdnI3dndYT0MxUA?oc=5,2026-04-08,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2165,google_news,CEO Insights Asia,Grab Extends 90-Cent Fuel Surcharge and Higher GrabCab Fares - CEO Insights Asia,Grab Extends 90-Cent Fuel Surcharge and Higher GrabCab Fares&nbsp;&nbsp;CEO Insights Asia,https://news.google.com/rss/articles/CBMisgFBVV95cUxNNWpZM2hpQ0JKZElxeVhEMGphOGtQdjVPcGl5UjJRei1FNWxFUmZrZTFqb3FTaHQ4TTdLdFVqUTdMSW80NmxEZ1hWdXR0T0tzR0ItOWliU252cnI2d1JFXzhISXBqSW1BLXhBcTJNY2Zha21tcFFVby1wa09OQTlEXzdNUFdqSTJZVmhXVVN0VWdrdmdlaXc4b3VYSnFobkdIYjdMUHZDMUM4SVUycGJHQl9B?oc=5,2026-05-23,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2166,google_news,Tech in Asia,GVV 8: Grab’s latest accelerator graduates share their takeaways - Tech in Asia,GVV 8: Grab’s latest accelerator graduates share their takeaways&nbsp;&nbsp;Tech in Asia,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQNjlZQ09sV1piMWRveE80Nl9qc205RENldFhQUWJaT1dxaFgyWHhEQjFpdTJfaDBqb1hXamhCTDluMDQ0QUxEdTR2R3hOb2pHUjRkeFZEYzNLUlFLYVB3dkhzTy1zYnQ3VVRXcTFlZmlnUEhXODQwWjdOb01iamNmSklUNVBzTEtrN09r?oc=5,2026-02-19,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2167,google_news,Theinvestor,Grab's 2025 Vietnam revenue climbs to $255 mln as growth streak extends - Theinvestor,Grab's 2025 Vietnam revenue climbs to $255 mln as growth streak extends&nbsp;&nbsp;Theinvestor,https://news.google.com/rss/articles/CBMipwFBVV95cUxQcWptWU9pakc1OUNwQ1hwd2JFUlpxN3hVQ2xpVk5iZWxUS1hFclNPeDBmLXlLWDdxRTZwb1M4cXFYajQxZXhuczdUaDJvU0tfRE53d241TXJ6RTMzYm5qNkNwWUNJS1FodDBwZ05ZcU1PQlhIclFZYk05TkRidGhQMWt4VUgxTE1nY05XdVhVZWVzdy1NY0VYUFcyTkxZbFc5SHZtT01nVQ?oc=5,2026-03-23,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2168,google_news,thephilbiznews,"Grab, GAC partner to roll out 20,000 EVs across southeast Asia - thephilbiznews","Grab, GAC partner to roll out 20,000 EVs across southeast Asia&nbsp;&nbsp;thephilbiznews",https://news.google.com/rss/articles/CBMioAFBVV95cUxNVFdwU3lGM1MtV3JWRGQ4d0xhcU5JLUxsQl90RjFSTzBXSXpUbzNwdjVPLTluN1hRMlVTV0hOLUQ4SzllZFFsOWZNUHpDYzJwaUxVZ3hxWWptM21aQ2ZHRy03dFhONXoxU1V4amV4eHF6WXNKcUVGYlZRRWpkWjhBdEthbDZ3Um5kckRvZk9QTUJacnpoTzlfeXVwbFJCUUJG?oc=5,2026-01-14,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2169,google_news,The Business Times,Grab’s Q1 2026 earnings surge more than 4 times to US$136 million - The Business Times,Grab’s Q1 2026 earnings surge more than 4 times to US$136 million&nbsp;&nbsp;The Business Times,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQOThfc2EtWDBzdTdfdWxRbjZiT0otQ3FiVUhvcVpFVWIzdlpTdXl6dF9XR2JpempzTUU2WHM4YzFSWlhvNDFXYWxvOVkwOUREMzdHNnA1OERxMUFlamwtUGZWd0c2RWdDX0dhZlBBbGlVQnhTLWtQcXNEZWhIQUFvaEtWRG9lSjBiZGVuQks1QVkyVkNyRE54Q2JhWHpsMlM1WjFpM3pSM3VRQQ?oc=5,2026-05-05,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2170,google_news,Digital News Asia,Grab partners with GAC to enhance electric vehicle ride-hailing experience in Southeast Asia - Digital News Asia,Grab partners with GAC to enhance electric vehicle ride-hailing experience in Southeast Asia&nbsp;&nbsp;Digital News Asia,https://news.google.com/rss/articles/CBMivwFBVV95cUxPZVRBcHg4NDRnd3FsNlRwbkhXblZHc2l1SVhmTzFTQmk2TXdrcTJpdkFqdnhOd1NvdEpOVlQ2djR5U19QdEZCRk1pZmh3RjhTaFN3S1B2UG5aRmVxU2ZWMXlzSkdYdFIySi1oak9uNDc4WHo0NENXNE5EN1lhV3RFRGxZMDF2SlZUN0xaUXFOak1hUThsaTJwS05QV09LWG1hRmdZajdLNHVKREM0RUpoS2o0LXZBTEVzSnFQX0tUbw?oc=5,2026-01-08,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2171,google_news,TNGlobal,Grab partners with GAC to enhance electric vehicle ride-hailing experience in Southeast Asia - TNGlobal,Grab partners with GAC to enhance electric vehicle ride-hailing experience in Southeast Asia&nbsp;&nbsp;TNGlobal,https://news.google.com/rss/articles/CBMixwFBVV95cUxON1NSZ2tnTHM4QWx4eGFJWVh3dzQyYjFxaWZBV0RnTVU0RnVxYUF0RThtTkVUT3N6UVZwWkZGZGY4aUhUN1V2WTNPbFYtQ2NWLWhhamo5cFV5d1gwRXNrQllMenlaRjNoQVNKMS1hSGFmLW5iQktYNW5xWGhMUDVxYTJBQS1HNGZtMWhVNmdYU1cxT2hjUi1MaXduSEw0aVRMNUNlbTViaFgtSmZqblhCczdrYUg2VW9ndEdidmFBTWY4LVRmcnVJ?oc=5,2026-01-09,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
2172,google_news,Singapore Business Review,Grab superapp gets smarter with 13 AI enhancements - Singapore Business Review,Grab superapp gets smarter with 13 AI enhancements&nbsp;&nbsp;Singapore Business Review,https://news.google.com/rss/articles/CBMikwFBVV95cUxON0ZwUjQ4dG1TN25GdzZSRHdWQlptQl9laGFRVUpaWGpMSXZUZ0ZqblRNeko3Y3dNUEczMmlsOXR6UXlYOVZoNUhGSVdrLW00NE1sMkxyYkVsVG1OYXVGSDNKZ0E4U0pNYmF5aldnOGFneURXcl83a3p1TmtvRXgyYW9FRzhZUlZsYkJqQWhQT1V2c2s?oc=5,2026-04-13,SEA,superapp,,,2026-06-05 09:33:08.249681+00,,,
