id,store,app_name,country,rating,author,review_date,content,lang_detected,translated_content,sentiment_label,sentiment_score,keyword_category,created_at,keyword_domain
31476,google_play,PEA VOLTA,THA,5,Championship Station,2021-02-26,ใช้ดีจ้า แต่จะดีมากถ้ามีให้เลือก MG EP 5555,th,,positive,0.7651,기타·미상,2026-06-04 06:10:25.766183+00,미상
31477,google_play,PEA VOLTA,THA,5,Surapong Sukhupanyarak,2021-02-26,ใช้ได้ดีครับ ช่วยได้มากสำหรับรถยนต์ไฟฟ้าที่เดินทางต่างจังหวัด,th,,positive,0.7233,기타·미상,2026-06-04 06:10:25.766183+00,미상
31478,google_play,PEA VOLTA,THA,4,Apaporn CH,2021-02-26,ก็ใช้ได้นะคะแต่อยากให้ดพิ้มเป็น24ชม.นะคะ,th,,neutral,0.4879,기타·미상,2026-06-04 06:10:25.766183+00,미상
26881,google_play,Green SM,MUL,1,Edgji Gjjj,2023-04-07,CL kém,cs,,neutral,0.5165,일반혹평,2026-06-04 05:59:59.595793+00,앱공통
26882,google_play,Green SM,MUL,5,Toàn Nguyễn Văn,2023-04-07,Chưa trải nghiệm chỉ chờ,vi,,neutral,0.7515,기타·미상,2026-06-04 05:59:59.595793+00,미상
26883,google_play,Green SM,MUL,5,kien pham van,2023-04-07,14.4 mới cho đăng ký . Ủng hộ nhưng chưa biết dịch vụ ntn. Tạm cho 5* tinh thần dân tộc,vi,,neutral,0.4496,계정·인증·KYC,2026-06-04 05:59:59.595793+00,앱공통
26884,google_play,Green SM,MUL,5,Hữu Đạt Trần,2023-04-07,dễ sử dụng,vi,,positive,0.4874,기타·미상,2026-06-04 05:59:59.595793+00,미상
26885,google_play,Green SM,MUL,5,Xuân Lộc,2023-04-07,Ủng hộ VinFast 👍,vi,,positive,0.5969,기타·미상,2026-06-04 05:59:59.595793+00,미상
21420,google_play,Green SM,MUL,5,Canh Ngọ,2024-05-03,Tuyệt zời,vi,,negative,0.4102,긍정오분류,2026-06-04 05:59:32.995093+00,검토
21424,google_play,Green SM,MUL,1,Phúc Nguyễn,2024-05-02,Như cc dmdmmm đahwt mà ko kiếm có tài xế,vi,,negative,0.6011,드라이버·서비스불만,2026-06-04 05:59:32.995093+00,라이드
21425,google_play,Green SM,MUL,1,Tuan Minh,2024-05-02,Tài xế đứng gần cả đống mà đặt thì ko dc hảo ap,vi,,negative,0.6208,드라이버·서비스불만,2026-06-04 05:59:32.995093+00,라이드
